	TBC1	TBC12	TBC13	TBC14	TBC15	TBC16	TBC17	TBC19	TBC2	TBC20	TBC21	TBC22	TBC23	TBC24	TBC25	TBC26	TBC27	TBC28	TBC29	TBC3	TBC30	TBC31	TBC32	TBC33	TBC34	TBC35	TBC36	TBC37	TBC38	TBC4	TBC5	TBC6	TBC8
TBC24	1.537134776137661	1.547675537919742	0.9737472330997842	1.059163846007718	1.047539828110086	1.211270037215633	1.226427654524255	1.295294769006917	1.119025144519642	0.627633333369508	1.029420509488056	0.9029148103058797	0.8815925078990693	0	0.6503666464944681	0.97755601883485	0.9767430913514961	0.9985806565851619	1.134354474443624	1.085460479165729	1.227053559346119	1.444109037549425	0.1795451719644472	1.39599212789424	1.445092680779953	0.7214352646586748	0.2059104503440378	0.6958688829905897	0.8317305219079758	1.101256304794119	1.144531284513147	1.168340222060127	0.3573046536193354
TBC25	1.343596458815352	1.474580694788244	0.6288419251424501	1.054026603408197	1.099888664032641	0.8077033308470299	0.703288325693609	0.9810278548211244	1.077136577847794	0.6292123560510225	0.4872553322070093	0.8340256994678391	0.7361551946602183	0.6503666464944681	0	0.8829731149266805	0.7896966134235768	0.6871926501670557	0.6289405971771184	1.145183541052258	0.9350879335516179	1.133874531044552	0.6539773624876569	1.089561580356276	1.248663714922268	0.5024534767978839	0.5969859455081461	0.4326456659724563	0.4639988842106969	1.013487084412808	0.9236299473305968	1.050513589782606	0.5776673802060691
TBC26	1.376474531461658	1.311321539410146	0.9772882639992955	0.4514925863272143	0.7284912825744542	1.018583787328749	1.225392960455072	1.491804414106568	0.5210420325955561	0.4572973175369101	1.037058501319558	0.4606166280319001	0.4984032396717868	0.97755601883485	0.8829731149266805	0	0.4115371244158373	0.4743277900558812	1.134562387356014	0.7712440272719333	0.8630078109769378	1.643125418002421	0.9561940614448726	1.594536717849115	1.444374597707945	1.119526316925453	1.105654614558166	1.178994000701215	0.7177881590398313	0.6262313686061384	0.7676719936943979	0.7421995715198466	0.7116003488317886
TBC27	1.279448867267909	1.381228530891686	0.8487338722572124	0.4638286953489258	0.5516913671864742	1.127247042609657	1.121279678921552	1.496303986372174	0.5238721075144398	0.4408671968343452	0.9624588495403896	0.2660219845570898	0.4159526899142535	0.9767430913514961	0.7896966134235768	0.4115371244158373	0	0.4807608902594989	1.107954566585122	0.6047134052957868	0.6761375807665844	1.642904414159734	0.9222841143968664	1.592554461616196	1.328075635887564	1.032635933416338	1.080150404966327	1.161611855543332	0.8176215759685843	0.528772460493445	0.577784578807845	0.4725226084369546	0.6870058549644813
TBC28	1.433248915530257	1.385476720044468	0.8673898828177546	0.5263181217208037	0.7432340602776768	0.7783499943048717	0.970081888818668	1.237906652741088	0.6369269037465799	0.5619741175210589	0.8331307675727649	0.5101031578267692	0.4388951204767021	0.9985806565851619	0.6871926501670557	0.4743277900558812	0.4807608902594989	0	0.8875404845749277	0.7866068017529039	0.8401461950954349	1.387941355299368	1.000921117088745	1.337885777984618	1.443134018293372	0.9444056546508589	0.9782934975086738	0.9858053999396815	0.6755344303526885	0.5478990527301882	0.6607068429625776	0.726145271043408	0.7529225382031256
TBC29	1.348927538591454	1.685277204374058	0.8325007905955434	1.219525145255885	1.270654996468284	0.3316612810541402	0.4527144611659646	0.4914603697709733	1.26150989335578	1.094818782849488	0.7035168523881543	1.104532569701312	0.9957191867677457	1.134354474443624	0.6289405971771184	1.134562387356014	1.107954566585122	0.8875404845749277	0	1.311220324800493	1.076305812693564	0.6384502435282091	1.105593829825369	0.6156281064422758	1.315681020813258	0.915982354030426	1.055137425301646	0.527852429573217	0.8229872604244334	1.190980871340567	1.04093196089945	1.252164483128957	0.9973412340224957
TBC3	1.438593123877018	1.557694492046062	1.24077148980407	0.3763176803059896	0.1045166670311121	1.278751883705306	1.378794174122463	1.52559723255703	0.5209539980959418	0.8138749049615067	1.41826541980772	0.4802730604075267	0.6413000343559011	1.085460479165729	1.145183541052258	0.7712440272719333	0.6047134052957868	0.7866068017529039	1.311220324800493	0	0.9533170908050743	1.642600857495052	1.103710902480437	1.635701696674358	1.579679607541763	1.272717907903494	1.201822604108957	1.329969904282004	1.183669170432022	0.5160691161207248	0.706757262736903	0.3399811119884198	0.9354081064947217
TBC30	1.035050555454287	1.577709893634388	0.4185245509597317	0.9005010760135821	0.9098333687847383	1.161691473786084	0.9423993764244456	1.432858134269437	0.9133381294942488	0.8491786710489374	1.11169874574404	0.7967116799916383	0.7838108398491634	1.227053559346119	0.9350879335516179	0.8630078109769378	0.6761375807665844	0.8401461950954349	1.076305812693564	0.9533170908050743	0	1.56956802518367	1.155538296397545	1.535684238082912	0.8325277248483377	1.077458407080446	1.310861973980958	1.200809627478701	1.025116668162312	0.9010703927396302	0.7455964835358222	0.7975905393896718	0.999186194158947
TBC31	1.605634314675983	1.899193394258807	1.358740466142683	1.638053999925522	1.648732113405846	0.6852611252839482	0.9735431907868649	0.1959791258658486	1.616043849145569	1.629940186244304	1.175592892570998	1.640209423908641	1.502016448865471	1.444109037549425	1.133874531044552	1.643125418002421	1.642904414159734	1.387941355299368	0.6384502435282091	1.642600857495052	1.56956802518367	0	1.47183330929011	0.08332170326383392	1.602431276113764	1.273642612718707	1.278935728560783	0.8160001943241348	1.29425937061939	1.558901924297996	1.507485868679723	1.635372144999963	1.492861153154486
TBC32	1.496874493608234	1.514468601887801	0.9505479285864459	1.031840836107081	1.062037307936495	1.253648161430504	1.169791259345061	1.345676283693544	1.101967428859706	0.5945291340867637	1.044123378092585	0.8482628663855298	0.8554183751210133	0.1795451719644472	0.6539773624876569	0.9561940614448726	0.9222841143968664	1.000921117088745	1.105593829825369	1.103710902480437	1.155538296397545	1.47183330929011	0	1.464424713132286	1.328660677199673	0.6609964391082387	0.2429065894585076	0.6826667846386492	0.7934920692376315	1.048286071912725	1.03113244299901	1.068121157105268	0.2974378746872693
