	TBC1	TBC12	TBC13	TBC14	TBC15	TBC16	TBC17	TBC19	TBC2	TBC20	TBC21	TBC22	TBC23	TBC24	TBC25	TBC26	TBC27	TBC28	TBC29	TBC3	TBC30	TBC31	TBC32	TBC33	TBC34	TBC35	TBC36	TBC37	TBC38	TBC4	TBC5	TBC6	TBC8
TBC21	0.7444333554147348	0.9123625140406696	0.6848430334304706	0.7755684838800896	0.6502821201035147	0.7324847551368665	0.6770075208518717	0.6677795885365624	0.8868052436005311	0.4965678996241252	0	0.6114506004005972	0.8473952282619457	0.5896389757292179	0.6664250550457703	0.7583826375430023	0.5854483427787913	0.7526681282374398	0.6273198446837447	0.8532357108516212	0.593337971353846	0.7869254147328757	0.6240796458501631	0.529519459212506	0.6890499412025688	0.8883890442663116	0.7483072491998204	0.6748625090425692	0.8241186059086626	0.8922026127566627	0.8700557729766435	0.8237499324207661	0.589943943050652
TBC22	0.6901701685854116	0.9022700744436127	0.626950236341313	0.7388772175065876	0.6974289773447334	0.7621739716161325	0.5999547254255309	0.6859473441291376	0.8604577218669863	0.5628373451705323	0.6114506004005972	0	0.8432762540999487	0.6474175053574212	0.6538216967450312	0.7586105091955428	0.6101460421041836	0.7570254015370472	0.5801347946092935	0.8294729771561298	0.6791229533577016	0.792833057791676	0.6785994741702104	0.6500473790930122	0.6003661492406985	0.8741876967766476	0.736335603507729	0.6579883950590005	0.8051165291713356	0.8723333934133006	0.8280850831356251	0.8018170895284317	0.6367524249635917
TBC23	0.9035359414208147	0.8562409709433456	0.881054546940649	0.8603769649801076	0.9018280715737695	0.8706818615116311	0.8802631938681175	0.8839610275213166	0.6727038451423937	0.8513724012192603	0.8473952282619457	0.8432762540999487	0	0.8513317108223308	0.8346745437153319	0.842855043898986	0.8625365649452562	0.8620164584968469	0.8575710796031466	0.7339371250543285	0.8599644165242097	0.9223680309611707	0.8806668244194248	0.873010849737006	0.8775918921814944	0.569715039483205	0.9012872752673089	0.8790610475250221	0.8470392755570572	0.6864249186686578	0.6394004356328541	0.729831760100885	0.8765513141236246
TBC24	0.7587861964131275	0.9172792660418911	0.6915098664377738	0.8006982495477647	0.6859684003621341	0.78463989081209	0.6872871077085424	0.6806445292195757	0.8908351912419458	0.5572845155062646	0.5896389757292179	0.6474175053574212	0.8513317108223308	0	0.7315873557227855	0.7916587639770688	0.6335581823554707	0.7988442047815764	0.6507598140737972	0.8554793726625731	0.6341549574702086	0.7878213856645127	0.6683032277049404	0.590016627483781	0.6914356675547553	0.8806200790377874	0.6818998117402362	0.7107459329924497	0.8352490497391396	0.8973445656997523	0.8737629781769345	0.8340736417411417	0.6401558398467742
TBC25	0.7704724205930887	0.8768224941516234	0.6301336090814246	0.7328593943074998	0.7989504089133449	0.7544239410153589	0.7024968320241785	0.7678076090607188	0.8432512148146039	0.6801019022059696	0.6664250550457703	0.6538216967450312	0.8346745437153319	0.7315873557227855	0	0.7062639114353522	0.7176383936806038	0.7538812252837458	0.6634888955955573	0.8394224705367419	0.7146727051910919	0.8551538764760503	0.7490253557060726	0.7153819350095326	0.7249861836780664	0.8727082995183285	0.8194119763243365	0.6352512582867621	0.7680658353401068	0.8613539400574453	0.832139310023021	0.8331751359975372	0.7414170816658198
TBC26	0.8398638021138575	0.8500695057027549	0.7881771716161855	0.4984023163528054	0.8479899655664824	0.756483099931988	0.7972253102701505	0.8151448121219809	0.7240922313219885	0.7337568109798019	0.7583826375430023	0.7586105091955428	0.842855043898986	0.7916587639770688	0.7062639114353522	0	0.7769030049456681	0.7177231885438612	0.7538424241148807	0.8417620107663104	0.7666809604824097	0.8944181508915989	0.7961272454672627	0.7974635105480753	0.8088686160314451	0.8674366877482137	0.8665608544436612	0.804615811720108	0.5388386436539049	0.8343729439594049	0.8510478897892955	0.848289776548469	0.8008338245514105
TBC27	0.737249220286733	0.90750908353843	0.7049146940804724	0.7814649157704442	0.6443733181782053	0.7531696505266139	0.6935541918934566	0.6593304752016766	0.8892212423778022	0.5316993907283445	0.5854483427787913	0.6101460421041836	0.8625365649452562	0.6335581823554707	0.7176383936806038	0.7769030049456681	0	0.7554783870977683	0.6600488523458222	0.8408575953954827	0.6197546609318144	0.7817434057920648	0.6314072146723919	0.5748277462913852	0.6949827282217061	0.8783453117653157	0.7311558746887066	0.7098766059503064	0.8238787720735349	0.8893319414751645	0.870813961934383	0.8265903735833739	0.6073270387724389
TBC28	0.8465127409090687	0.8159662198363475	0.7841545150479341	0.7764591275399513	0.8347457568348553	0.5035039594932613	0.8094216791532935	0.8164775817852937	0.8577538121403925	0.734245688042713	0.7526681282374398	0.7570254015370472	0.8620164584968469	0.7988442047815764	0.7538812252837458	0.7177231885438612	0.7554783870977683	0	0.781085903353537	0.8753334250187925	0.777482078700945	0.8809084342723776	0.8053522896733507	0.7925632803133639	0.8169224033612499	0.8913958049382017	0.8660736638880239	0.8218230630334525	0.7914123375305528	0.7204572103427344	0.8702103496282168	0.8655149913417549	0.7811713814308904
TBC29	0.6774489301342864	0.9023260981201623	0.6220086541505889	0.748892186450094	0.7121147198426151	0.7484732339815053	0.5123315361626173	0.713402444615025	0.8776156741023724	0.6169857753586122	0.6273198446837447	0.5801347946092935	0.8575710796031466	0.6507598140737972	0.6634888955955573	0.7538424241148807	0.6600488523458222	0.781085903353537	0	0.8446229571597522	0.6555705885574848	0.8172252071047819	0.6839361756873648	0.5789609370514615	0.6625328402279433	0.8869684477553381	0.7444408729937969	0.6869128347915945	0.7863674874343313	0.8839807907623831	0.8097895477633623	0.8423699312619062	0.692140927596974
TBC3	0.8836942026848242	0.8809404423165259	0.8630195627782544	0.8681348455756528	0.8640508390562401	0.8721859073183962	0.846057496029525	0.8281646976527942	0.7699837802411951	0.8579741047646402	0.8532357108516212	0.8294729771561298	0.7339371250543285	0.8554793726625731	0.8394224705367419	0.8417620107663104	0.8408575953954827	0.8753334250187925	0.8446229571597522	0	0.8376216230677314	0.8650169049068489	0.8593897945847626	0.8605689993566126	0.8577936811526399	0.7305182099476732	0.8763754187560465	0.8581282623487143	0.8319495838354111	0.7744534026053874	0.7165546702505405	0.682524030576232	0.8620757854419929
